beer_ABV,beer_beerId,beer_brewerId,beer_name,beer_style,review_appearance,review_palette,review_overall,review_taste,review_profileName,review_aroma,review_text,review_time,sentiment_score
12.0,3833,396,AleSmith Speedway Stout,American Double / Imperial Stout,4.0,4.5,4.0,4.5,mdaschaf,4.0,"A: Pours a nice black color with a one finger mocha colored head, nice retention and lots of lacing. It is thin, but covers most of the glass. S: Lots going on in the nose with some chocolate, molasses, licorice, brown sugar and a little bit of coffee not as much as I was expected, and for me not a problem at all. Could be from age, no idea how old the bottle is. There is a little bit of dark fruit as well. T: A good bit of roasted malt and chocolate, with coffee undertones. A little bit of nondescript dark fruit shows up. Very light smokiness and underlying vanilla and cream. M: Medium to full bodied with moderate carbonation. Slight warming in my stomach from the alcohol, but for 12%, hidden very well. Drinks very smooth. O: Very nice beer, lived up to reputation. Again, not sure on bottle age, but the coffee really was not as strong as I expected, which is a good thing for me.",1323744339,0.30000001192092896
,30856,35,Brewer Patriot Collection - James Madison Dark Wheat Ale,American Dark Wheat Ale,3.0,3.5,4.0,3.5,blitz134,4.0,"Going through this 4 bottle set has taken me a really long time. I only have one more to finish after this one. I am glad to see I'm not the only one still working on these though. I can't help but laugh when I read that the malt was smoked with oak from land once owned by James Madison; it probably made a huge difference in the flavor, haha. Murky, dark caramel color with an off-white head. Small initially and then reduced to a skim layer. Limited lacing in large bands. This is a wheat beer, head retention would be a good thing but its not here. I find the smell quite interesting. Overall its pretty sweet and has a lot of sweet, yeast roll malt aromas in it. Almost has a bit of an alcoholic edge to it too. The smoke is light, but you can still pick it out. The wheat is more evident in the flavor, but there is still that sweet yeast roll that plays a major par. There is a bit of rye that comes in too. A little spiciness and oak offers up some supporting roles. Still I think it has more alcohol tones than normal. Pretty good flavor, and not something I've had all that often. I really like this more than I like most wheat beers. Decent mouthfeel, medium or so in nature. A fair amount of carbonation that works well with the spiciness. Flavor lingers for a bit but then fades leaving the rye flavors to play for a little longer. I actually like this more than most wheat beers as I mentioned above. It has its wheat characteristics, but there is a substantial malt presence as well. Easy to put down and pretty refreshing with the carbonation levels and medium body. Good stuff, my favorite so far.",1170904385,0.4000000059604645
6.7,42533,140,Sierra Nevada Southern Hemisphere Harvest Fresh Hop Ale,American IPA,4.5,4.5,4.5,4.0,yemenmocha,4.0,"2009 Fresh Hop Southern Hemi release. Pours medium amber with minimal haze, thick off-white head, and laces well throughout the pint. Nose has a nice clean & bright citrusy aroma with some floral hints as well. There's good carbonation on the palate, and enough malt to give it some balance, but clearly the focus is on the mouth-puckering hops. There are herbal flavors that go nicely into the finish, and bitterness pervades from early on, through the middle, and so forth. Rather easy drinking for an IPA.",1253398988,0.6000000238418579
9.0,30,22,Trois Pistoles,Belgian Strong Dark Ale,4.5,4.5,3.5,3.0,pio,4.5,"i've got to, first, give a salute to the beer label. usually i wouldn't let a label effect my appearance score but this is the shit! it has hellfire, evil looking heavy metal print, a demon-pegasus, spires and a gothic looking set of metal wings on the bottleneck label. it's cool if you're into that kind of thing, and i say i am! that aside, pours a color of an apple slice left out in the air. a special color for sure, capped securely by a beige pocked head that's died down but not relenting, it stays at about a quarter inch. i approve! aroma of alcohol and a malt or port wine. flavors of malt with rasins or fermented grapes (yeah, ok) there is a quite spicy nip that says nice things to the tip of the tongue. it finishes nicely: warm spice and carmel balance on ripe fruit. some hints of cinnamon, coco. mouthfeel is thick and crispy too, alot of bubbles help convey everything. burps high into the nose with spicy Co2. this is a very good beer as far as i am concerned. thanks for reading my review.",1053284185,0.30000001192092896
5.0,571,113,Samuel Smith's Oatmeal Stout,Oatmeal Stout,5.0,4.5,4.0,4.0,PBRstreetgang,4.0,"Pours nearly black with ruby highlights. A huge pale brown head forms, very dense in consistency and superb retention that coats the entire glass with sticky lacing. Very sweet roasted barley aroma, with some molasses notes. Sweet oats and deep roasted flavor is robust but not overwhelming. The lack of any hop profile is compensated by the bitterness from the malts, leaving a balanced flavor that is non-residual, but also not too dry. Light carbonation and a full body lend a smooth and drinkable character that compliment the rich flavor. Burnt malt and overly sweet aftertaste create a flash of soy sauce, which fades quickly but leaves a slightly astringent finish.",1130207452,0.4000000059604645
7.5,55767,192,Lips Of Faith - Dark Heather Saison,Saison / Farmhouse Ale,4.0,4.0,3.0,4.0,womencantsail,4.0,"On-tap at Churchill's A: The pour is a dark brown with a sticky, fluffy off-white head. S: The nose is highly floral and herbal, exhibiting the heather and cardamom quite well. There is also some light tartness to the nose, likely from the herbal ingredients. T: There are a lot of different things going on in this beer. I, of course, pick up the herbal and floral tones, along with a distinct earthy quality. There is a bit of ""spiciness"" as well, and some sweet/sour contrast. M: The body is medium with a smooth carbonation. Overall, the beer is perhaps a bit ""heavy"" for a Saison. D: This is another one of those ""interesting"" beers. I was intrigued to see what new flavors I could find with each sip, but I don't know how much of this I could drink at one time.",1269715366,0.20000000298023224
6.5,355,132,Dead Guy Ale,Maibock / Helles Bock,4.0,4.5,4.0,4.0,nelnutter,4.0,"12 oz bottle poured into a Sam Adams pint glass. A: Pours a copper/orange color with a huge soapy, off-white head that left patchy lacing. S: Sweet malt, caramel, and a hint of orange/citrus hops. T: Sweet malt and caramel and some citrusy/apricot/orange bitterness comes through at the end. Leaves a bitter bite. M: Slight carbonation and medium-bodied. D: Very tasty ale, quite refreshing and well-balanced. Definitely one I'd gladly have more of.",1269822860,0.10000000149011612
7.5,15881,694,Tröegs Nugget Nectar,American Amber / Red Ale,4.0,5.0,4.0,3.5,thekanna,4.0,"My 100th Review! A: A nice clear orange with a thin, lacy white head. S: Strong hop smell that resonates lychee and tropical fruit sweetness. Kind of like the smell of lychee jellies that you buy at an Asian supermarket. T: Overall bitter hoppiness is very strong throughout. The label tells me that this is a result of the ""Trifecta of Nugget, Warrior, and Tomahawk Hops."" The taste imbues notes of grapefruit, white grape /peach juice, and a strange smoky creaminess that hits at the very end. M: Juicy and refreshing. Active carbonation, but not overwhelming. D: Good drinkability. Does it deserve to be on the BA Top 100 though? I think probably not. There are a lot of great highly-hopped brews out there, and this one doesn't seem to stick out in any special way over the other brews.",1237263549,0.20000000298023224
9.2,40800,870,Wet Hopsickle Triple India Pale Ale,American Double / Imperial IPA,4.0,3.0,4.0,4.5,sarahspat,4.0,"This was a sweet extra from raoulduke37. I could not find any kind of date on the bottle. Poured into a tulip glass clear amber, with small off white head. Decent lacing. Nose is faint; hard to detect... citrus, pine, a hint of granny smith apples, caramel. Holy crap this beer is bitter! I appreciate candied pineapple, caramel, pine, and flowers. The bitterness is huge on the palate, but I still feel like caramel is the most prominent flavor. If you ever wondered what bitter caramel would taste like, try this beer. Although, the bitterness is intense, the malt backbone is strong enough to support it. Also, the complexity of flavors from the hops prevents the bitterness from overwhelming the palate. However, if this were my ideal DIPA, there would be a bit more complexity. Although, the hops flavors are a little hard to appreciate over the bitterness. Overall, the flavor is nice, and pretty close to what you would expect from something with the phrase ""triple hoppy"" on the label. The mouthfeel is luxurious. On the thick end of the spectrum for the style; very smooth and soft. Good carbonation. The bitterness hurts drinkability a bit, but it gets better as it warms. However, if you take the ABV into consideration, it's not bad... especially warm. Alcohol is really not noticeable at all. This brew displays a welcomed originality. I would be interested to try other styles from this brewery.",1240971355,0.30000001192092896
5.0,6314,132,Kells Irish Style Lager,Euro Pale Lager,4.0,4.5,4.5,4.0,unclejimbay,4.0,"Rogue Kells Irish Lager 10/9/08, 1 pt 6oz bottle to a tapered bottom mug, Reviewed as a ""Euro Pale Lager"" = heavy hops w/ minimal bitterness, can have sweet notes? ABV=BA unlisted? A 4.0 Cloudy golden yellow, almost cider-like, great head and great lacing S 4.5 Notes of apple and wheat, a surprise indeed, minor hop notes were present T 4.0 a wheaty cider taste on palate, finish has hoppiness and citrus notes MF 4.0 Heavy on carbonation, smooth on palate, feels like a home brew, a lot of character, medium- - body D 4.5 Unique and different, not really a session beer as agreed by a buddy during this tasting. Unique to try for sure! Reminded me of some saisons and/or hefes",1223671830,0.30000001192092896
